epoch,accuracy,loss,val_accuracy,val_loss
0,0.3772488236427307,1.3167766332626343,0.49567723274230957,1.2439100742340088
1,0.666482150554657,0.9521569609642029,0.6599423885345459,0.8838967084884644
2,0.7893717288970947,0.5707894563674927,0.6916426420211792,0.786967933177948
3,0.8444505929946899,0.422264963388443,0.6887608170509338,0.7983542680740356
4,0.8737890720367432,0.3399290144443512,0.6945244669914246,0.7899179458618164
5,0.9017437100410461,0.28432491421699524,0.6858789920806885,0.8570941686630249
6,0.9247162938117981,0.23562516272068024,0.6858789920806885,0.90194171667099
7,0.9332964420318604,0.19877679646015167,0.6887608170509338,0.9854682683944702
8,0.945751428604126,0.1717398315668106,0.6657060384750366,1.0445730686187744
9,0.9546083807945251,0.15424463152885437,0.6743515729904175,1.0674492120742798
10,0.9626349210739136,0.1305067241191864,0.6743515729904175,1.1042989492416382
11,0.9615278244018555,0.1221766248345375,0.6858789920806885,1.1623510122299194
12,0.9692776203155518,0.10918975621461868,0.6657060384750366,1.2412570714950562
13,0.9687240719795227,0.09923141449689865,0.6570605039596558,1.2966941595077515
14,0.9712150692939758,0.09480651468038559,0.6858789920806885,1.2750918865203857
15,0.973706066608429,0.08567823469638824,0.6657060384750366,1.3941935300827026
16,0.975643515586853,0.08413930982351303,0.6685879230499268,1.409888505935669
17,0.974259614944458,0.0817076787352562,0.6772334575653076,1.3990353345870972
18,0.9781345129013062,0.07263205200433731,0.6772334575653076,1.4414938688278198
19,0.975089967250824,0.07379434257745743,0.6685879230499268,1.5193291902542114
20,0.975643515586853,0.07340667396783829,0.6484149694442749,1.5251967906951904
21,0.977027416229248,0.07028044760227203,0.651296854019165,1.5689986944198608
22,0.9778577089309692,0.06349004805088043,0.6570605039596558,1.631148338317871
23,0.9759202599525452,0.06498951464891434,0.6368876099586487,1.6397331953048706
24,0.9784113168716431,0.0593523271381855,0.6599423885345459,1.6004351377487183
